Quarter,GDPC1,Gdpc1_shift,GDP_Diff,Recession_Sign,Recession_start,Second_Quarter,Third_Quarter,Recession_1,recession_end_1,Recession_2,Forth_Quarter,Fifth_Quarter,Sixth_Quarter,Final_Recession
1992Q4,9857.185,9840.753,16.43199999999888,1,0,0,0,0,0,0,0,0,0,0
1993Q1,9914.565,9857.185,57.38000000000102,1,0,0,0,0,0,0,0,0,0,0
1993Q2,9961.873,9914.565,47.30799999999908,1,0,0,0,0,0,0,0,0,0,0
1993Q3,10097.362,9961.873,135.48899999999958,1,0,0,0,0,0,0,0,0,0,0
1993Q4,10195.338,10097.362,97.97600000000057,1,0,0,0,0,0,0,0,0,0,0
1994Q1,10333.495,10195.338,138.15700000000106,1,0,0,0,0,0,0,0,0,0,0
1994Q2,10393.898,10333.495,60.40299999999843,1,0,0,0,0,0,0,0,0,0,0
1994Q3,10512.962,10393.898,119.0640000000003,1,0,0,0,0,0,0,0,0,0,0
1994Q4,10550.251,10512.962,37.28900000000067,1,0,0,0,0,0,0,0,0,0,0
1995Q1,10581.723,10550.251,31.471999999999753,1,0,0,0,0,0,0,0,0,0,0
1995Q2,10671.738,10581.723,90.01499999999942,1,0,0,0,0,0,0,0,0,0,0
1995Q3,10744.203,10671.738,72.46500000000015,1,0,0,0,0,0,0,0,0,0,0
1995Q4,10824.674,10744.203,80.47100000000137,1,0,0,0,0,0,0,0,0,0,0
1996Q1,11005.217,10824.674,180.54299999999967,1,0,0,0,0,0,0,0,0,0,0
1996Q2,11103.935,11005.217,98.71799999999894,1,0,0,0,0,0,0,0,0,0,0
1996Q3,11219.238,11103.935,115.30299999999988,1,0,0,0,0,0,0,0,0,0,0
1996Q4,11291.665,11219.238,72.427,1,0,0,0,0,0,0,0,0,0,0
1997Q1,11479.33,11291.665,187.66499999999905,1,0,0,0,0,0,0,0,0,0,0
1997Q2,11622.911,11479.33,143.58100000000013,1,0,0,0,0,0,0,0,0,0,0
1997Q3,11722.722,11622.911,99.811,1,0,0,0,0,0,0,0,0,0,0
1997Q4,11839.876,11722.722,117.15400000000045,1,0,0,0,0,0,0,0,0,0,0
1998Q1,11949.492,11839.876,109.61599999999999,1,0,0,0,0,0,0,0,0,0,0
1998Q2,12099.191,11949.492,149.69900000000052,1,0,0,0,0,0,0,0,0,0,0
1998Q3,12294.737,12099.191,195.54599999999846,1,0,0,0,0,0,0,0,0,0,0
1998Q4,12410.778,12294.737,116.04100000000108,1,0,0,0,0,0,0,0,0,0,0
1999Q1,12514.408,12410.778,103.6299999999992,1,0,0,0,0,0,0,0,0,0,0
1999Q2,12679.977,12514.408,165.56900000000132,1,0,0,0,0,0,0,0,0,0,0
1999Q3,12888.281,12679.977,208.3040000000001,1,0,0,0,0,0,0,0,0,0,0
1999Q4,12935.252,12888.281,46.97099999999955,1,0,0,0,0,0,0,0,0,0,0
2000Q1,13170.749,12935.252,235.4969999999994,1,0,0,0,0,0,0,0,0,0,0
2000Q2,13183.89,13170.749,13.140999999999622,1,0,0,0,0,0,0,0,0,0,0
2000Q3,13262.25,13183.89,78.36000000000058,1,0,0,0,0,0,0,0,0,0,0
2000Q4,13219.251,13262.25,-42.999,-1,0,0,0,0,0,0,0,0,0,0
2001Q1,13301.394,13219.251,82.14300000000003,1,0,0,0,0,1,0,0,0,0,0
2001Q2,13248.142,13301.394,-53.252,-1,0,0,0,0,1,0,0,0,0,1
2001Q3,13284.881,13248.142,36.73899999999958,1,0,0,0,0,1,0,0,0,0,1
2001Q4,13394.91,13284.881,110.02900000000045,1,0,0,0,0,1,0,0,0,0,1
2002Q1,13477.356,13394.91,82.44599999999991,1,0,0,0,0,0,0,0,0,0,0
2002Q2,13531.741,13477.356,54.38500000000022,1,0,0,0,0,0,0,0,0,0,0
2002Q3,13549.421,13531.741,17.68000000000029,1,0,0,0,0,0,0,0,0,0,0
2002Q4,13619.434,13549.421,70.01299999999901,1,0,0,0,0,0,0,0,0,0,0
2003Q1,13741.107,13619.434,121.67300000000068,1,0,0,0,0,0,0,0,0,0,0
2003Q2,13970.157,13741.107,229.04999999999927,1,0,0,0,0,0,0,0,0,0,0
2003Q3,14131.379,13970.157,161.22200000000157,1,0,0,0,0,0,0,0,0,0,0
2003Q4,14212.34,14131.379,80.96099999999933,1,0,0,0,0,0,0,0,0,0,0
2004Q1,14323.017,14212.34,110.67699999999968,1,0,0,0,0,0,0,0,0,0,0
2004Q2,14457.832,14323.017,134.8150000000005,1,0,0,0,0,0,0,0,0,0,0
2004Q3,14605.595,14457.832,147.763,1,0,0,0,0,0,0,0,0,0,0
2004Q4,14767.846,14605.595,162.2510000000002,1,0,0,0,0,0,0,0,0,0,0
2005Q1,14839.707,14767.846,71.86100000000079,1,0,0,0,0,0,0,0,0,0,0
2005Q2,14956.291,14839.707,116.58399999999892,1,0,0,0,0,0,0,0,0,0,0
2005Q3,15041.232,14956.291,84.94100000000071,1,0,0,0,0,0,0,0,0,0,0
2005Q4,15244.088,15041.232,202.85599999999977,1,0,0,0,0,0,0,0,0,0,0
2006Q1,15281.525,15244.088,37.437,1,0,0,0,0,0,0,0,0,0,0
2006Q2,15304.517,15281.525,22.99200000000019,1,0,0,0,0,0,0,0,0,0,0
2006Q3,15433.643,15304.517,129.1260000000002,1,0,0,0,0,0,0,0,0,0,0
2006Q4,15478.956,15433.643,45.313,1,0,0,0,0,0,0,0,0,0,0
2007Q1,15577.779,15478.956,98.82300000000032,1,0,0,0,0,0,0,0,0,0,0
2007Q2,15671.605,15577.779,93.82599999999911,1,0,0,0,0,0,0,0,0,0,0
2007Q3,15767.146,15671.605,95.54100000000108,1,0,0,0,0,0,0,0,0,0,0
2007Q4,15702.906,15767.146,-64.24,-1,0,0,0,0,0,0,0,0,0,0
2008Q1,15792.773,15702.906,89.86699999999837,1,0,0,0,0,1,0,0,0,0,0
2008Q2,15709.562,15792.773,-83.211,-1,0,0,0,0,1,0,0,0,0,0
2008Q3,15366.607,15709.562,-342.955,-1,1,0,0,1,1,1,0,0,0,1
2008Q4,15187.475,15366.607,-179.132,-1,1,1,0,1,1,1,1,0,0,1
2009Q1,15161.772,15187.475,-25.703,-1,1,1,1,1,1,1,1,1,0,1
2009Q2,15216.647,15161.772,54.875,1,0,1,1,1,1,1,1,1,1,1
2009Q3,15379.155,15216.647,162.5079999999998,1,0,0,1,1,1,1,1,1,1,1
2009Q4,15456.059,15379.155,76.90399999999863,1,0,0,0,0,0,0,0,0,0,0
2010Q1,15605.628,15456.059,149.56900000000132,1,0,0,0,0,0,0,0,0,0,0
2010Q2,15726.282,15605.628,120.65399999999863,1,0,0,0,0,0,0,0,0,0,0
2010Q3,15807.995,15726.282,81.71300000000156,1,0,0,0,0,0,0,0,0,0,0
2010Q4,15769.911,15807.995,-38.084,-1,0,0,0,0,0,0,0,0,0,0
2011Q1,15876.839,15769.911,106.92799999999988,1,0,0,0,0,1,0,0,0,0,0
2011Q2,15870.684,15876.839,-6.155,-1,0,0,0,0,1,0,0,0,0,0
2011Q3,16048.702,15870.684,178.01800000000003,1,0,0,0,0,1,0,0,0,0,0
2011Q4,16179.968,16048.702,131.26600000000144,1,0,0,0,0,1,0,0,0,0,0
2012Q1,16253.726,16179.968,73.75799999999981,1,0,0,0,0,0,0,0,0,0,0
2012Q2,16282.151,16253.726,28.424999999999272,1,0,0,0,0,0,0,0,0,0,0
2012Q3,16300.035,16282.151,17.884000000000015,1,0,0,0,0,0,0,0,0,0,0
2012Q4,16441.485,16300.035,141.45000000000073,1,0,0,0,0,0,0,0,0,0,0
2013Q1,16464.402,16441.485,22.916999999997643,1,0,0,0,0,0,0,0,0,0,0
2013Q2,16594.743,16464.402,130.34100000000035,1,0,0,0,0,0,0,0,0,0,0
